Material,Z_Average,Z_Weighted_Average,Z_Max,Z_Min,Z_Std_dev,Z_Weighted_Std_dev,Electronegativity_Average,Electronegativity_Weighted_Average,Electronegativity_Max,Electronegativity_Min,Electronegativity_Std_dev,Electronegativity_Weighted_Std_dev,IonizationPotential_Average,IonizationPotential_Weighted_Average,IonizationPotential_Max,IonizationPotential_Min,IonizationPotential_Std_dev,IonizationPotential_Weighted_Std_dev,ElectronAffinity_Average,ElectronAffinity_Weighted_Average,ElectronAffinity_Max,ElectronAffinity_Min,ElectronAffinity_Std_dev,ElectronAffinity_Weighted_Std_dev,HOMO_Average,HOMO_Weighted_Average,HOMO_Max,HOMO_Min,HOMO_Std_dev,HOMO_Weighted_Std_dev,LUMO_Average,LUMO_Weighted_Average,LUMO_Max,LUMO_Min,LUMO_Std_dev,LUMO_Weighted_Std_dev,r_s_orbital_Average,r_s_orbital_Weighted_Average,r_s_orbital_Max,r_s_orbital_Min,r_s_orbital_Std_dev,r_s_orbital_Weighted_Std_dev,r_p_orbital_Average,r_p_orbital_Weighted_Average,r_p_orbital_Max,r_p_orbital_Min,r_p_orbital_Std_dev,r_p_orbital_Weighted_Std_dev,r_atomic_nonbonded_Average,r_atomic_nonbonded_Weighted_Average,r_atomic_nonbonded_Max,r_atomic_nonbonded_Min,r_atomic_nonbonded_Std_dev,r_atomic_nonbonded_Weighted_Std_dev,r_valence_lastorbital_Average,r_valence_lastorbital_Weighted_Average,r_valence_lastorbital_Max,r_valence_lastorbital_Min,r_valence_lastorbital_Std_dev,r_valence_lastorbital_Weighted_Std_dev,Valence_Average,Valence_Weighted_Average,Valence_Max,Valence_Min,Valence_Std_dev,Valence_Weighted_Std_dev,PeriodicColumn_upto18_Average,PeriodicColumn_upto18_Weighted_Average,PeriodicColumn_upto18_Max,PeriodicColumn_upto18_Min,PeriodicColumn_upto18_Std_dev,PeriodicColumn_upto18_Weighted_Std_dev,NumberUnfilledOrbitals_Average,NumberUnfilledOrbitals_Weighted_Average,NumberUnfilledOrbitals_Max,NumberUnfilledOrbitals_Min,NumberUnfilledOrbitals_Std_dev,NumberUnfilledOrbitals_Weighted_Std_dev,Polarizability_Average,Polarizability_Weighted_Average,Polarizability_Max,Polarizability_Min,Polarizability_Std_dev,Polarizability_Weighted_Std_dev,Heat of formation,Energy above convex hull
BiClTe,50.6667,50.6667,83,17,26.9609,46.6976,2.3333,2.3333,3,2,0.4714,0.8165,-9.6667,-9.6667,-7,-13,2.4944,4.3205,-2.0,-2.0,-1,-3,0.8165,1.4142,-5.6667,-5.6667,-4,-8,1.6997,2.9439,3.0,3.0,4,2,0.8165,1.4142,0.0,0.0,0,0,0.0,0.0,0.6667,0.6667,1,0,0.4714,0.8165,0.6667,0.6667,1,0,0.4714,0.8165,0.6667,0.6667,1,0,0.4714,0.8165,17.3333,17.3333,29,7,9.0308,15.6418,16.0,16.0,17,15,0.8165,1.4142,2.0,2.0,3,1,0.8165,1.4142,33.6667,33.6667,50,14,14.8847,25.7811,-0.47,0.14
BiIS,50.6667,50.6667,83,16,27.4024,47.4623,2.0,2.0,2,2,0.0,0.0,-9.6667,-9.6667,-7,-11,1.8856,3.266,-2.0,-2.0,-1,-3,0.8165,1.4142,-6.0,-6.0,-4,-7,1.4142,2.4495,3.3333,3.3333,4,2,0.9428,1.633,0.0,0.0,0,0,0.0,0.0,0.6667,0.6667,1,0,0.4714,0.8165,1.0,1.0,1,1,0.0,0.0,0.6667,0.6667,1,0,0.4714,0.8165,17.3333,17.3333,29,6,9.3927,16.2686,16.0,16.0,17,15,0.8165,1.4142,2.0,2.0,3,1,0.8165,1.4142,34.3333,34.3333,50,19,12.6579,21.9241,-0.29,0.14
BiISe,56.6667,56.6667,83,34,20.1715,34.938,2.0,2.0,2,2,0.0,0.0,-9.3333,-9.3333,-7,-11,1.6997,2.9439,-2.0,-2.0,-1,-3,0.8165,1.4142,-5.6667,-5.6667,-4,-7,1.2472,2.1602,3.3333,3.3333,4,2,0.9428,1.633,0.0,0.0,0,0,0.0,0.0,0.6667,0.6667,1,0,0.4714,0.8165,1.0,1.0,1,1,0.0,0.0,0.6667,0.6667,1,0,0.4714,0.8165,20.6667,20.6667,29,16,5.9067,10.2307,16.0,16.0,17,15,0.8165,1.4142,2.0,2.0,3,1,0.8165,1.4142,36.6667,36.6667,50,26,9.9778,17.282,-0.44,0.0
HfBrCl,41.3333,41.3333,72,17,22.8959,39.6569,2.0,2.0,3,1,0.8165,1.4142,-10.3333,-10.3333,-6,-13,3.0912,5.3541,-2.0,-2.0,0,-3,1.4142,2.4495,-5.6667,-5.6667,-2,-8,2.6247,4.5461,3.0,3.0,5,0,2.1602,3.7417,0.3333,0.3333,1,0,0.4714,0.8165,0.3333,0.3333,1,0,0.4714,0.8165,0.6667,0.6667,1,0,0.4714,0.8165,0.0,0.0,0,0,0.0,0.0,14.0,14.0,18,7,4.9666,8.6023,12.6667,12.6667,17,4,6.1283,10.6145,3.3333,3.3333,8,1,3.2998,5.7155,48.0,48.0,109,14,43.2281,74.8732,-1.34,0.02
Co2Br2O2,23.3333,23.3333,35,8,11.3235,19.6129,2.0,2.0,3,1,0.8165,1.4142,-11.6667,-11.6667,-7,-16,3.6818,6.377,-2.0,-2.0,-1,-3,0.8165,1.4142,-6.6667,-6.6667,-4,-9,2.0548,3.559,3.0,3.0,5,0,2.1602,3.7417,0.3333,0.3333,1,0,0.4714,0.8165,0.3333,0.3333,1,0,0.4714,0.8165,0.6667,0.6667,1,0,0.4714,0.8165,0.0,0.0,0,0,0.0,0.0,10.6667,10.6667,17,6,4.6428,8.0416,14.0,14.0,17,9,3.559,6.1644,2.0,2.0,3,1,0.8165,1.4142,26.3333,26.3333,53,5,19.9555,34.564,-0.68,0.08
Ga2Br2S2,27.3333,27.3333,35,16,8.1786,14.1657,1.6667,1.6667,2,1,0.4714,0.8165,-9.3333,-9.3333,-5,-12,3.0912,5.3541,-1.6667,-1.6667,0,-3,1.2472,2.1602,-5.3333,-5.3333,-2,-7,2.357,4.0825,4.0,4.0,5,3,0.8165,1.4142,0.3333,0.3333,1,0,0.4714,0.8165,0.3333,0.3333,1,0,0.4714,0.8165,1.0,1.0,1,1,0.0,0.0,0.3333,0.3333,1,0,0.4714,0.8165,12.0,12.0,17,6,4.5461,7.874,15.3333,15.3333,17,13,1.6997,2.9439,2.6667,2.6667,5,1,1.6997,2.9439,30.3333,30.3333,51,19,14.6363,25.3509,-0.65,0.09
Br2Ge2S2,27.6667,27.6667,35,16,8.34,14.4453,2.0,2.0,2,2,0.0,0.0,-10.0,-10.0,-7,-12,2.1602,3.7417,-1.6667,-1.6667,0,-3,1.2472,2.1602,-5.6667,-5.6667,-3,-7,1.8856,3.266,4.0,4.0,5,3,0.8165,1.4142,0.0,0.0,0,0,0.0,0.0,0.3333,0.3333,1,0,0.4714,0.8165,1.0,1.0,1,1,0.0,0.0,0.3333,0.3333,1,0,0.4714,0.8165,12.3333,12.3333,17,6,4.6428,8.0416,15.6667,15.6667,17,14,1.2472,2.1602,2.3333,2.3333,4,1,1.2472,2.1602,26.3333,26.3333,39,19,8.9938,15.5778,-0.31,0.17
Hf2Br2N2,38.0,38.0,72,7,26.6208,46.1086,2.0,2.0,3,1,0.8165,1.4142,-10.3333,-10.3333,-6,-13,3.0912,5.3541,-1.3333,-1.3333,0,-3,1.2472,2.1602,-5.3333,-5.3333,-2,-7,2.357,4.0825,3.0,3.0,5,0,2.1602,3.7417,0.3333,0.3333,1,0,0.4714,0.8165,0.3333,0.3333,1,0,0.4714,0.8165,0.6667,0.6667,1,0,0.4714,0.8165,0.0,0.0,0,0,0.0,0.0,13.3333,13.3333,18,5,5.9067,10.2307,12.0,12.0,17,4,5.7155,9.8995,4.0,4.0,8,1,2.9439,5.099,45.6667,45.6667,109,7,45.1467,78.1963,-1.7,0.0
ZrBrI,42.6667,42.6667,53,35,7.5865,13.1403,1.6667,1.6667,2,1,0.4714,0.8165,-9.6667,-9.6667,-6,-12,2.6247,4.5461,-2.0,-2.0,0,-3,1.4142,2.4495,-5.6667,-5.6667,-3,-7,1.8856,3.266,3.0,3.0,5,0,2.1602,3.7417,0.3333,0.3333,1,0,0.4714,0.8165,0.6667,0.6667,1,0,0.4714,0.8165,1.0,1.0,1,1,0.0,0.0,0.3333,0.3333,1,0,0.4714,0.8165,12.6667,12.6667,17,4,6.1283,10.6145,12.6667,12.6667,17,4,6.1283,10.6145,3.3333,3.3333,8,1,3.2998,5.7155,58.6667,58.6667,121,21,44.3947,76.8939,-0.98,0.15
In2Br2Se2,39.3333,39.3333,49,34,6.8475,11.8603,1.6667,1.6667,2,1,0.4714,0.8165,-9.0,-9.0,-5,-12,2.9439,5.099,-1.6667,-1.6667,0,-3,1.2472,2.1602,-5.0,-5.0,-2,-7,2.1602,3.7417,3.6667,3.6667,5,2,1.2472,2.1602,0.3333,0.3333,1,0,0.4714,0.8165,0.3333,0.3333,1,0,0.4714,0.8165,1.0,1.0,1,1,0.0,0.0,0.3333,0.3333,1,0,0.4714,0.8165,15.3333,15.3333,17,13,1.6997,2.9439,15.3333,15.3333,17,13,1.6997,2.9439,2.6667,2.6667,5,1,1.6997,2.9439,36.3333,36.3333,62,21,18.2635,31.6333,-0.66,0.03
Ir2Br2Se2,48.6667,48.6667,77,34,20.0389,34.7083,2.0,2.0,2,2,0.0,0.0,-10.0,-10.0,-8,-12,1.633,2.8284,-2.3333,-2.3333,-2,-3,0.4714,0.8165,-6.0,-6.0,-5,-7,0.8165,1.4142,3.0,3.0,5,0,2.1602,3.7417,0.0,0.0,0,0,0.0,0.0,0.3333,0.3333,1,0,0.4714,0.8165,1.0,1.0,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,18.6667,18.6667,23,16,3.0912,5.3541,14.0,14.0,17,9,3.559,6.1644,2.0,2.0,3,1,0.8165,1.4142,32.6667,32.6667,51,21,13.1233,22.7303,-0.32,0.01
Nb2Br2S2,30.6667,30.6667,41,16,10.6562,18.4572,1.6667,1.6667,2,1,0.4714,0.8165,-10.0,-10.0,-7,-12,2.1602,3.7417,-1.6667,-1.6667,0,-3,1.2472,2.1602,-6.0,-6.0,-4,-7,1.4142,2.4495,3.0,3.0,5,0,2.1602,3.7417,0.3333,0.3333,1,0,0.4714,0.8165,0.3333,0.3333,1,0,0.4714,0.8165,1.0,1.0,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,9.3333,9.3333,17,5,5.4365,9.4163,12.6667,12.6667,17,5,5.4365,9.4163,3.3333,3.3333,7,1,2.6247,4.5461,48.6667,48.6667,106,19,40.549,70.2329,-1.05,0.06
Ni2Br2Se2,32.3333,32.3333,35,28,3.0912,5.3541,1.6667,1.6667,2,1,0.4714,0.8165,-9.6667,-9.6667,-7,-12,2.0548,3.559,-2.0,-2.0,-1,-3,0.8165,1.4142,-5.6667,-5.6667,-4,-7,1.2472,2.1602,3.0,3.0,5,0,2.1602,3.7417,0.3333,0.3333,1,0,0.4714,0.8165,0.3333,0.3333,1,0,0.4714,0.8165,1.0,1.0,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,14.3333,14.3333,17,10,3.0912,5.3541,14.3333,14.3333,17,10,3.0912,5.3541,1.6667,1.6667,2,1,0.4714,0.8165,31.6667,31.6667,48,21,11.7284,20.3142,-0.35,0.0
Tl2Br2O2,41.3333,41.3333,81,8,30.1367,52.1983,2.3333,2.3333,3,2,0.4714,0.8165,-11.0,-11.0,-5,-16,4.5461,7.874,-1.6667,-1.6667,0,-3,1.2472,2.1602,-6.0,-6.0,-2,-9,2.9439,5.099,3.6667,3.6667,5,2,1.2472,2.1602,0.3333,0.3333,1,0,0.4714,0.8165,0.3333,0.3333,1,0,0.4714,0.8165,0.6667,0.6667,1,0,0.4714,0.8165,0.3333,0.3333,1,0,0.4714,0.8165,16.6667,16.6667,27,6,8.5765,14.8549,15.3333,15.3333,17,13,1.6997,2.9439,2.6667,2.6667,5,1,1.6997,2.9439,25.6667,25.6667,51,5,19.0671,33.0252,-0.64,0.0
