Material,Z_Average,Z_Weighted_Average,Z_Max,Z_Min,Z_Std_dev,Z_Weighted_Std_dev,Electronegativity_Average,Electronegativity_Weighted_Average,Electronegativity_Max,Electronegativity_Min,Electronegativity_Std_dev,Electronegativity_Weighted_Std_dev,IonizationPotential_Average,IonizationPotential_Weighted_Average,IonizationPotential_Max,IonizationPotential_Min,IonizationPotential_Std_dev,IonizationPotential_Weighted_Std_dev,ElectronAffinity_Average,ElectronAffinity_Weighted_Average,ElectronAffinity_Max,ElectronAffinity_Min,ElectronAffinity_Std_dev,ElectronAffinity_Weighted_Std_dev,HOMO_Average,HOMO_Weighted_Average,HOMO_Max,HOMO_Min,HOMO_Std_dev,HOMO_Weighted_Std_dev,LUMO_Average,LUMO_Weighted_Average,LUMO_Max,LUMO_Min,LUMO_Std_dev,LUMO_Weighted_Std_dev,r_s_orbital_Average,r_s_orbital_Weighted_Average,r_s_orbital_Max,r_s_orbital_Min,r_s_orbital_Std_dev,r_s_orbital_Weighted_Std_dev,r_p_orbital_Average,r_p_orbital_Weighted_Average,r_p_orbital_Max,r_p_orbital_Min,r_p_orbital_Std_dev,r_p_orbital_Weighted_Std_dev,r_atomic_nonbonded_Average,r_atomic_nonbonded_Weighted_Average,r_atomic_nonbonded_Max,r_atomic_nonbonded_Min,r_atomic_nonbonded_Std_dev,r_atomic_nonbonded_Weighted_Std_dev,r_valence_lastorbital_Average,r_valence_lastorbital_Weighted_Average,r_valence_lastorbital_Max,r_valence_lastorbital_Min,r_valence_lastorbital_Std_dev,r_valence_lastorbital_Weighted_Std_dev,Valence_Average,Valence_Weighted_Average,Valence_Max,Valence_Min,Valence_Std_dev,Valence_Weighted_Std_dev,PeriodicColumn_upto18_Average,PeriodicColumn_upto18_Weighted_Average,PeriodicColumn_upto18_Max,PeriodicColumn_upto18_Min,PeriodicColumn_upto18_Std_dev,PeriodicColumn_upto18_Weighted_Std_dev,NumberUnfilledOrbitals_Average,NumberUnfilledOrbitals_Weighted_Average,NumberUnfilledOrbitals_Max,NumberUnfilledOrbitals_Min,NumberUnfilledOrbitals_Std_dev,NumberUnfilledOrbitals_Weighted_Std_dev,Polarizability_Average,Polarizability_Weighted_Average,Polarizability_Max,Polarizability_Min,Polarizability_Std_dev,Polarizability_Weighted_Std_dev,Heat of formation,Energy above convex hull
Ag2Te2,49.5,49.5,52,47,2.5,3.5355,1.5,1.5,2,1,0.5,0.7071,-8.0,-8.0,-7,-9,1.0,1.4142,-1.5,-1.5,-1,-2,0.5,0.7071,-4.5,-4.5,-4,-5,0.5,0.7071,1.5,1.5,3,0,1.5,2.1213,0.5,0.5,1,0,0.5,0.7071,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,13.5,13.5,16,11,2.5,3.5355,13.5,13.5,16,11,2.5,3.5355,1.5,1.5,2,1,0.5,0.7071,44.5,44.5,52,37,7.5,10.6066,0.06,0.1
AlSb,32.0,32.0,51,13,19.0,26.8701,1.5,1.5,2,1,0.5,0.7071,-6.5,-6.5,-5,-8,1.5,2.1213,-0.5,-0.5,0,-1,0.5,0.7071,-3.0,-3.0,-2,-4,1.0,1.4142,3.5,3.5,4,3,0.5,0.7071,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,9.0,9.0,15,3,6.0,8.4853,14.0,14.0,15,13,1.0,1.4142,4.0,4.0,5,3,1.0,1.4142,48.5,48.5,55,42,6.5,9.1924,0.3,0.47
InAs,41.0,41.0,49,33,8.0,11.3137,1.5,1.5,2,1,0.5,0.7071,-7.0,-7.0,-5,-9,2.0,2.8284,-0.5,-0.5,0,-1,0.5,0.7071,-3.5,-3.5,-2,-5,1.5,2.1213,3.0,3.0,4,2,1.0,1.4142,0.5,0.5,1,0,0.5,0.7071,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,14.0,14.0,15,13,1.0,1.4142,14.0,14.0,15,13,1.0,1.4142,4.0,4.0,5,3,1.0,1.4142,45.5,45.5,62,29,16.5,23.3345,0.15,0.4
Au2I2,66.0,66.0,79,53,13.0,18.3848,2.0,2.0,2,2,0.0,0.0,-10.0,-10.0,-9,-11,1.0,1.4142,-2.5,-2.5,-2,-3,0.5,0.7071,-6.0,-6.0,-5,-7,1.0,1.4142,2.0,2.0,4,0,2.0,2.8284,0.5,0.5,1,0,0.5,0.7071,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,21.0,21.0,25,17,4.0,5.6569,14.0,14.0,17,11,3.0,4.2426,1.0,1.0,1,1,0.0,0.0,35.0,35.0,36,34,1.0,1.4142,0.07,0.07
Au2S2,47.5,47.5,79,16,31.5,44.5477,2.0,2.0,2,2,0.0,0.0,-10.0,-10.0,-9,-11,1.0,1.4142,-2.0,-2.0,-2,-2,0.0,0.0,-6.0,-6.0,-5,-7,1.0,1.4142,2.0,2.0,4,0,2.0,2.8284,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,1.0,1.0,1,1,0.0,0.0,0.5,0.5,1,0,0.5,0.7071,15.5,15.5,25,6,9.5,13.435,13.5,13.5,16,11,2.5,3.5355,1.5,1.5,2,1,0.5,0.7071,27.5,27.5,36,19,8.5,12.0208,0.28,0.37
Au2Se2,56.5,56.5,79,34,22.5,31.8198,2.0,2.0,2,2,0.0,0.0,-9.5,-9.5,-9,-10,0.5,0.7071,-2.0,-2.0,-2,-2,0.0,0.0,-5.5,-5.5,-5,-6,0.5,0.7071,2.0,2.0,4,0,2.0,2.8284,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,1.0,1.0,1,1,0.0,0.0,0.5,0.5,1,0,0.5,0.7071,20.5,20.5,25,16,4.5,6.364,13.5,13.5,16,11,2.5,3.5355,1.5,1.5,2,1,0.5,0.7071,31.0,31.0,36,26,5.0,7.0711,0.23,0.34
Bi2Se2,58.5,58.5,83,34,24.5,34.6482,2.0,2.0,2,2,0.0,0.0,-8.5,-8.5,-7,-10,1.5,2.1213,-1.5,-1.5,-1,-2,0.5,0.7071,-5.0,-5.0,-4,-6,1.0,1.4142,3.0,3.0,4,2,1.0,1.4142,0.0,0.0,0,0,0.0,0.0,0.5,0.5,1,0,0.5,0.7071,1.0,1.0,1,1,0.0,0.0,0.5,0.5,1,0,0.5,0.7071,22.5,22.5,29,16,6.5,9.1924,15.5,15.5,16,15,0.5,0.7071,2.5,2.5,3,2,0.5,0.7071,38.0,38.0,50,26,12.0,16.9706,0.01,0.34
Bi2Te2,67.5,67.5,83,52,15.5,21.9203,2.0,2.0,2,2,0.0,0.0,-8.0,-8.0,-7,-9,1.0,1.4142,-1.5,-1.5,-1,-2,0.5,0.7071,-4.5,-4.5,-4,-5,0.5,0.7071,2.5,2.5,3,2,0.5,0.7071,0.0,0.0,0,0,0.0,0.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,22.5,22.5,29,16,6.5,9.1924,15.5,15.5,16,15,0.5,0.7071,2.5,2.5,3,2,0.5,0.7071,43.5,43.5,50,37,6.5,9.1924,0.14,0.33
Pd2Br2,40.5,40.5,46,35,5.5,7.7782,2.0,2.0,2,2,0.0,0.0,-10.0,-10.0,-8,-12,2.0,2.8284,-1.5,-1.5,0,-3,1.5,2.1213,-5.5,-5.5,-4,-7,1.5,2.1213,1.0,1.0,5,-3,4.0,5.6569,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,1.0,1.0,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,13.5,13.5,17,10,3.5,4.9497,13.5,13.5,17,10,3.5,4.9497,0.5,0.5,1,0,0.5,0.7071,26.5,26.5,32,21,5.5,7.7782,0.09,0.35
Ir2Cl2,47.0,47.0,77,17,30.0,42.4264,2.5,2.5,3,2,0.5,0.7071,-10.5,-10.5,-8,-13,2.5,3.5355,-2.5,-2.5,-2,-3,0.5,0.7071,-6.5,-6.5,-5,-8,1.5,2.1213,2.0,2.0,4,0,2.0,2.8284,0.0,0.0,0,0,0.0,0.0,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,0.0,0.0,0,0,0.0,0.0,15.0,15.0,23,7,8.0,11.3137,13.0,13.0,17,9,4.0,5.6569,2.0,2.0,3,1,1.0,1.4142,32.5,32.5,51,14,18.5,26.163,0.09,0.46
